0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
-0.4699977,-0.64999866,-2.8800008,-0.50999683,-0.17999434,0.1700063,-1.019999,-0.7600035,0.45998746,-0.5899952,0.30000275,-0.14999384,0.020001538,0.38000026,-0.9400014,0.030004278,0.5799981,0.6700037,0.39999574,-0.24999464
-0.13999826,-1.519999,-3.0299988,-1.0800002,0.74998707,0.49999574,-1.9400007,-0.5200024,0.8499846,-0.35999438,0.19000319,-0.0899985,-0.13999972,0.58000296,0.16000286,-0.44999662,0.6199927,-0.60001093,1.0699974,-0.17999718
-0.5399973,-1.1399992,-1.84,-0.19000003,0.2600038,0.12000455,-0.92999506,-1.3200009,-0.14999585,0.21000333,-0.26999596,-0.1299956,0.11000081,-0.38000143,-0.7100043,0.8599984,0.16000618,-0.09000152,0.28999907,0.550001
-0.6599988,-0.43999797,-1.3199996,-0.5700008,0.6000036,0.27000514,-0.7499949,-1.4999987,0.56000686,0.5699972,-0.039998945,0.27000627,-0.7099982,-0.63000095,0.24000241,-0.1900001,0.12000595,-1.0799981,0.72999334,0.53000975
-0.27000248,-0.8499984,-2.2800012,-0.42999732,1.2100005,0.25000486,-0.039997645,-1.5299995,0.5400058,0.31000254,-0.22999519,0.17000505,-0.66999906,-0.4700014,-0.3900037,-0.19999817,0.730001,-0.48,1.0699942,0.81000185
-0.8099996,-0.29000112,-1.9500003,-1.279999,0.52000093,0.37000343,0.6199981,-1.4400005,0.060003776,0.95999855,-0.19999768,0.26000285,-0.119998164,-1.0700003,-1.0100005,-0.6600005,0.28000304,-1.6300008,0.3700014,-0.029996958
-0.42999944,-0.65999806,-1.7200013,-1.0099971,0.9500075,0.5799987,-1.5199975,-0.31000108,0.030008653,-0.0099955555,-0.28999618,-0.16999547,-0.54999703,-0.09000036,-0.010002891,0.25999993,0.769993,0.4200019,0.7999931,-0.23999329
-0.8400041,-1.0299978,-2.2200005,-1.3900018,0.6199911,-0.47999817,-0.15999436,-1.1300007,0.05000729,1.1000018,-0.20999536,0.08000599,-1.1299919,-1.330003,0.14999932,-0.04999584,0.8499946,-0.47000515,1.0099969,0.8999968
-0.5199983,-0.4299978,-1.6400003,-1.0700008,0.9299873,0.08000499,-0.34999725,-1.1400009,0.060005277,0.7800081,-0.30999565,0.04000458,-0.5399964,-1.1299992,0.22000119,-0.44999775,0.8899952,-0.7700053,0.85998905,0.6300045
-0.78000647,-0.26999733,-1.7600005,0.6699972,0.40000474,0.4000045,0.17000416,-1.4800034,0.37000152,-0.67999583,-0.07999531,-0.08999486,-0.56999636,0.770002,-1.1900036,0.6499997,0.3900051,-0.04000114,0.3100057,0.2400002
-0.7299978,-0.90999776,-0.3600025,0.090005346,0.16000831,0.50000316,-1.0999972,-0.6799963,0.42000785,0.5000068,-0.22999358,0.13000888,-0.7699955,-0.20999923,0.25999862,0.49000517,0.4700045,-0.099998824,0.61999667,0.43000463
-0.4900003,-0.21999797,-1.7000011,-0.8799966,0.8099886,-0.10999365,-0.49999684,-0.690004,0.13000637,0.44000247,0.040004294,0.7900041,-0.6399976,-0.59999883,-0.3100011,0.30999982,0.45000583,-0.34000126,1.0299952,-0.12999487
-0.8499966,-0.59999853,-0.0900005,0.40000325,0.6299877,0.18000618,-0.25999638,-1.2200031,0.030006029,-0.49999768,0.44000039,0.15000641,-0.7799981,-0.41999918,-0.8399997,0.7800054,0.8799979,0.2400034,0.1500065,-0.19999477
-0.6,-0.5,-0.3,-0.5,-0.70000005,-0.6,-0.6,-0.4,-0.8000001,-0.5,-0.6,-0.70000005,-0.6,-0.4,-0.5,-0.6,-0.70000005,-0.6,-0.70000005,-0.70000005
-0.74000007,-0.48000002,-0.4,-0.52,-0.5,-0.29999995,-0.39999998,-0.6,-0.60000014,-0.56,-0.35999998,-0.58,-0.46000004,-0.64000005,-0.43999997,-0.62000006,-0.23999995,0.21000007,-0.51,-0.5400001
-0.31,-0.34,-0.24000001,-0.61,-0.6500001,-0.6500001,-0.35,-0.35999998,-0.6500001,-0.54,-0.32,-0.35,-0.28,-0.39,0.050000004,-0.37,-0.55,-0.22,-0.6500001,-0.45
-1.1100025,-1.0199978,-1.7600014,-0.28000125,0.6499875,-0.28999496,-0.19000053,0.069996566,0.65999585,0.45000362,-0.4399939,0.5000075,-0.5299983,-0.1600013,-0.049999334,-0.40999693,0.84998816,-0.31999677,0.9299876,0.13000676
-0.4,-0.3,-0.3,-0.4,-0.8000001,-0.70000005,-0.6,-0.4,-0.8000001,-0.5,-0.5,-0.6,-0.6,-0.4,-0.4,-0.6,-0.70000005,-0.5,-0.8000001,-0.6
-0.2,-0.3,-0.4,-0.4,-0.4,-0.5,-0.4,-0.3,-0.4,-0.3,-0.5,-0.6,-0.5,-0.2,-0.6,-0.3,-0.6,-0.5,-0.5,-0.5
-0.48,-0.47,-0.27,-0.47,-0.6499999,-0.45000005,-0.42000002,-0.67,-0.55,-0.53000003,-0.44,-0.41,-0.37,-0.6400001,-0.54999995,-0.57,-0.27,0.06000001,-0.69,-0.37
-0.25999996,-0.32,-0.3,-0.5,-0.6,-0.70000005,-0.6,0.020000026,-0.55,-0.6,-0.6,-0.70000005,-0.4,-0.6,-0.17999995,-0.8000001,-0.36999997,-0.27999994,-0.17999998,-0.5
-0.3,-0.5,-0.3,-0.6,-0.5,-0.6,-0.5,-0.1,-0.4,-0.4,-0.6,-0.5,-0.5,-0.3,-0.2,-0.5,-0.5,-0.4,-0.4,-0.5
-0.25999996,-0.32,-0.4,-0.5,-0.6,-0.70000005,-0.70000005,0.020000026,-0.5,-0.4,-0.70000005,-0.6,-0.6,-0.4,-0.27999994,-0.5,-0.62,-0.47999993,-0.37999994,-0.70000005
-0.15999998,-0.3,-0.3,-0.5,-0.5799999,-0.39999992,-0.6,-0.09999996,-0.8200001,-0.5,-0.5,-0.62,-0.5,-0.6,-0.37999994,-0.5,-0.56000006,-0.24999988,-0.4999999,-0.70000005
-0.4,-0.3,-0.5,-0.4,-0.29999998,-0.54,-0.70000005,-0.4,-0.54,-0.6,-0.5,-0.5,-0.4,-0.3,-0.6,-0.4,-0.39999998,-0.5,-0.39999998,-0.5
-0.5500001,-0.63000005,-0.010000028,-0.76000005,-0.5800002,-0.21999997,-0.8000001,-0.40000015,-0.11000003,-1.0000001,-0.9600001,-0.8000001,-0.7300001,-0.66,-0.94000024,-0.9300001,0.47,0.52000004,0.01999998,-1.2000002
-0.09999998,-0.22000001,-0.4,-0.34000003,-0.5,-0.6,-0.5,-0.16,-0.4,-0.40000004,-0.64000005,-0.5,-0.52000004,-0.17999999,-0.20000002,-0.28000003,-0.70000005,-0.5,-0.5,-0.6
